index,text,paraphrased_text
89,his insult and decided to teach him a lesson so ,['He decided to teach him a lesson.']
90,the next day the eagle went to the torches and ,['The eagle went to the torches.']
91,said who would you like to go for a sky ,['Who would you like to see?']
92,ride again yes sure I would love to the eagle ,['I would love to ride the eagle again.']
93,once again picked him up and clenched him in his ,['He was clenched in by the person who picked him up.']
94,claws the church's while enjoying the ride set to the ,['The ride is set to the church.']
95,eagle jealous but at my cost and now I'll let ,"[""I'll let the eagle jealous but at my expense.""]"
96,you enjoy the free fall the eagle let's his clothes ,"[""The eagle let's his clothes.""]"
97,loose and the torches went bowling down screaming for help ,"['The torches went bowling down, screaming for help.']"
98,I'm flying no longer he crashed on the ground with ,"[""I'm not flying anymore because he crashed on the ground.""]"
99,a 3rd frank stick his shell he didn't get injured ,"[""He didn't get injured.""]"
100,soon his old friends surrounded him and said hey young ,['He was surrounded by his old friends who said hey young.']
101,friend you wanted to see the world from high up ,['You wanted to see the world from high up.']
102,in the sky to dream big is not a sin ,"[""It's not a sin to dream big in the sky.""]"
103,but to dream it at the cost of others he's ,['He dreamed it at the cost of others.']
104,just not justifiable I have learnt my lesson now I ,['I have learned my lesson now.']
105,should be thankful to God for what I'm blessed with ,['I should be thankful for what I have.']
106,it was my shell only that save my life I ,['My shell saved my life.']
107,should be happy with what I have and also should ,['I should be happy with what I have.']
108,not use others for my selfish reasons I surely have ,"[""I don't use others for selfish reasons.""]"
109,learnt my lesson Tia now I know what you are ,['I know what you are after learning my lesson.']
110,trying to say ilauncher listen to one should think about ,"[""It's a good idea to say ilauncher listen to one.""]"
111,the consequences before one wishes for something I should be ,['There are consequences before one wishes for something.']
112,happy with what I am blessed with I should rather ,['I should be happy with what I have.']
113,look for an alternative to pluck those fruits quite I'll ,"[""I'll look for an alternative to plucking those fruits.""]"
114,get some later tofu you learn things quite fast and ,['You learn things very quickly if you get some later tofu.']
115,202540 5 wow tofu you have saved quite a lot ,['You have saved a lot of tofu.']
116,let's utilise this money to help someone no chia I ,"[""Let's use the money to help someone.""]"
117,will not spend this money I want to become great ,"[""I want to become great and won't spend this money.""]"
118,but tofu money has no value till we use it ,['Tofu money has no value until we use it.']
119,come on let me tell you a story the miser ,['Let me tell you a story.']
120,and his gold Once Upon a time there was a ,['There was a time when there was gold.']
121,miser hated spending gold so he never used any gold ,['He never used any gold because he hated spending it.']
122,he had he had dug up a whole I'm used ,"[""I'm used to him digging up a whole.""]"
123,to bury the gold nether tree in his garden everyday ,['Every day he has to bury the gold nether tree in his garden.']
124,he goes in there they try to dig it up ,['They try to dig it up.']
125,and look at the gold happily I'm so rich I ,"[""I'm rich and happy.""]"
126,own this much gold this made him very happy one ,['This gold made him very happy.']
127,day a passerby saw him digging out and happened to ,['A passerby saw him digging.']
128,see the gold hidden by him gold under the tree ,['The gold is hidden under the tree.']
129,I should wait today gets dog the robber waited till ,['I should wait to get the dog.']
130,the night time to dig up the gold he took ,['The night time is when he digs up the gold.']
131,all the gold buried under the tree the next day ,['The gold was buried under the tree.']
132,the miser came back to look at his gold where's ,['The miser looked at his gold.']
133,my gold where is my gold the miser dug a ,['The miser dug my gold.']
134,big hole where he used to hide his gold but ,['He used to hide his gold in that hole.']
135,he couldn't find any gold in the hole who stole ,"[""The person who stole the gold couldn't find it in the hole.""]"
136,my car listening to the miser crying all his neighbors ,['The miser is crying all his neighbors.']
137,came running to his house what happened why are you ,['Why did you run to his house?']
138,upset the miser showed them the whole I'm told him ,"[""I'm told the miser showed them the whole.""]"
139,everything about the gold he used to hide under the ,['He hid the gold under it.']
140,tree did you ever spent any of your gold no ,['Did you ever spend any of your gold?']
141,I would only dig it up looking at it made ,['I would only look at the finished product.']
142,me happy shingnapur used anything at all the gold was ,['I was happy that shingnapur used all the gold.']
143,of no use to you because you had it in ,"[""It's no use to you because you had it in.""]"
144,the ground just look into the whole I think that ,['Look into the whole from the ground.']
145,the gold just did inside it then you can be ,['You can be because the gold just did inside.']
146,as happy as you were before labour started to laugh ,['As happy as you were before labour began.']
147,and left him with the empty home now I understood ,['I left him with an empty home.']
148,it here I should utilise my money in something good ,['I should use my money for something good.']
149,yes too because wealth unused might as well not exist ,['It is possible that wealth unused might not exist.']
150,love you tofu stop throwing snowballs at me stop but ,"['Tofu, stop throwing snowballs at me.']"
151,that's how I play with snow I love making snowballs ,['I love making snowballs.']
152,tobu it's 5 days to Christmas come I'll help you ,"[""It's 5 days to Christmas, I'll help you.""]"
153,make a snowman no we made a snowman last Christmas ,['We made a snowman last Christmas.']
154,also Harry will be upset then tofu don't you want ,"[""Tofu don't you want, then Harry will be upset.""]"
155,Harry the snowman to be happy Harry that's no man ,['Harry the snowman is not a man.']
156,who is he I'll tell you Harry story if you ,"[""If you want to know Harry story, I'll tell you who he is.""]"
157,help me make a big lovely snowman okay tier tell ,['Please help me make a snowman.']
158,me the story and let's start making Harry Alton Harry ,"[""Let's start making a story out of it.""]"
159,the happy snowman 5 days before Christmas eve Santa was ,['Santa was 5 days before Christmas.']
160,working out in his gym practicing his technique of dropping ,['He is working out in his gym.']
161,down through chimneys without getting stuck Santa has quite a ,"[""Santa doesn't have to get stuck down through the chimneys.""]"
162,possibility of that suddenly one of his reindeers daughter came ,['One of his reindeers daughters came.']
163,running in he seemed rather distressed and worried Santa Santa ,['He was distressed and worried about Santa.']
164,Harry the snowman has run away I am panicking calm ,['I am panicked because the snowman has run away.']
165,down don't there is nothing to worry about I will ,['There is nothing to worry about.']
166,personally sort out Harris problems I'm bring him back home ,['I will bring Harris back home.']
167,safe and sound begin a search whilst I head back ,['I head back and begin a search.']
168,to my sleigh Santa took off to the skies to ,['Santa took off from my sleigh.']
169,find Harry one place as he looked down he's so ,"['As he looked down, find Harry one place.']"
170,Harry alone in the snow heading away from son to ,['Harry was alone in the snow.']
171,his village sorry Harry can you hear me sansarpur down ,['Can you hear me down there?']
172,and landed just beside Harry but Harry ignored Santa and ,"['Just beside Harry, Santa ignored him.']"
173,kept walking jump aboard Harry get back in hurry but ,['Harry got back in hurry after walking jump aboard.']
174,Harry kept on walking away Santa shouted again Harry please ,"['Santa shouted ""Harry please"" as Harry walked away.']"
175,listen to me talk to Santa Harry slowly turned around ,['Santa Harry turned around when I talked to him.']
176,looked at Santa with tears in his eyes Harry my ,['Santa had tears in his eyes.']
177,day there comes a point in everybody's life when you ,['Everybody has a point in their life.']
178,feel like running away but that is not the answer ,"[""It's not the answer to feel like running away.""]"
179,that's not the right thing to do please tell son ,"[""Please tell your son that's not the right thing to do.""]"
180,to your problems Harry looked at Santa I'm broke down ,"[""I'm broke down and Harry looked at Santa.""]"
181,no one ever listens to me no one has time ,['No one listens to me.']
182,for me why me higher justice stupid worthless no man ,"['For me, why do I have higher justice?']"
183,nobody loves me Harry my boy you are not worthless ,"['Harry, nobody loves you, you are not worthless.']"
184,dry your eyes wipe your face come I want to ,['I want you to dry your eyes.']
185,show you how important you are jump aboard Harry Harry ,['How important is it for you to jump aboard Harry Harry?']
186,looked at Rudolph he had his head hung low rudov ,['He had his head hung low.']
187,my boy take to the skies I ordered let's prove ,"[""Let's prove, I ordered my boy to take to the skies.""]"
188,tahari how important he really is and off we go ,['How important is he to us?']
189,ho as they travelled around the world santosh Harry millions ,['They traveled around the world.']
190,of snowman all built by children having fun with the ,['Children are having fun with a snowman.']
191,help of their family and friends look Harry building snowman ,['Harry is building a snowman with his family and friends.']
192,bring people together Harry imagine a Christmas without a snowman ,['Harry imagines a Christmas without a snowman.']
193,little being complete no fun imagine a family without you ,['Imagine a family without you.']
194,we don't take it home I come on let's go ,"[""Let's go, we don't take it home.""]"
195,wow the mood changed in the sleigh and everybody was ,['Everybody was happy in the sleigh.']
196,happy J approach the North Pole Lok Harry they look ,['J and Harry approach the North Pole.']
197,down from the sleigh and could see written in the ,['There was written in the sleigh.']
198,snow in huge letters welcome home Harry we love you ,"['Harry, welcome home, we love you.']"
199,everybody from Sanchez village was there too too welcome Harry ,['Everyone from the village was welcome.']
200,back home this made Harry so happy everyone clapped the ,['Everyone clapped for Harry back home.']
201,center Harry could have made a big mistake by running ,['center Harry could have made a mistake.']
202,away but that is not the answer just talk to ,"[""It's not the answer just talk.""]"
203,someone and you find the ones who have time for ,['You find people who have time for them.']
204,you and who truly care Merry Christmas Merry Christmas tier ,['Merry Christmas tier.']
205,Merry Christmas Harry we all love you always be happy ,"['Merry Christmas to Harry, we all love you.']"
206,now go inside and get some carrots let's give Harry ,"[""Let's give Harry some carrots.""]"
207,a big nose let me call all my friends to ,['I need a big nose to call my friends.']
208,play and tell them to make them all snowman more ,['Tell them to make more snowmen.']
209,friends for Harry kya goodnight tofu that time they lived ,['Harry and his friends lived that time.']
210,a lonely couple who only wish to have a child ,['A couple wishes to have a child.']
211,they lived in a little house all on their own ,['They lived alone in a small house.']
212,at the back of the house there was a small ,['There was a small at the back of the house.']
213,middle window from which a splendid garden could be seen ,['The garden could be seen from the middle window.']
214,this garden was full of very beautiful flowers and herbs ,['The garden was full of flowers and plants.']
215,no one dared to enter the garden as it belong ,['No one dared to enter the garden.']
216,to which named team got her one day the woman ,['The team got the woman one day.']
217,saw a plant called rampion which is used to make ,['There is a plant called rampion.']
218,salads dear husband I have a strong desire to have ,['I want my husband to have salads.']
219,a salad made out of that plant oh but that ,['A salad made from that plant.']
220,belongs to the wicked witch please do something I really ,['I really want the wicked witch to do something.']
221,want to keep those rampions okay dinner I will try ,['I will try to keep those rampions.']
222,to get it for you at midnight the husband climbed ,['The husband climbed to get it for you.']
223,the wall into the garden of the witch and started ,['The garden of the witch has a wall.']
224,taking some rampant the man took the rampion and his ,['The man took the rampion.']
225,wife made a salad out of it and ate it ,['The wife made a salad out of it.']
226,but the very same night there was a knock on ,['There was a knock on the same night.']
227,the door and the man knew something was wrong how ,"[""The door was open and the man knew something wasn't right.""]"
228,dare you you come into my garden and steal my ,['Do you want to steal my garden?']
229,rabbits like a thief you will suffer for it ohh ,"['You will suffer for it, rabbits.']"
230,please forgive me my wife saw your grampians from the ,['My wife saw your grampians.']
231,window and she wanted it so bad that I could ,['I could not because she wanted it so bad.']
232,not say no to her o apacs the truth then ,"[""Don't say no to her.""]"
233,I will let you have as many ranking as your ,['You can have as many ranking as you want.']
234,wife box but only on one condition what is that ,['What is the condition of the wife box?']
235,condition you must give me the child with your wife ,['You have to give me the child with your wife.']
236,and bring in to this world the man in his ,['Bring in the man in this world.']
237,terror consented to everything as time passed by the couple ,"['As time passed, the couple consented to everything.']"
238,gave birth to a beautiful little baby girl but that ,['A beautiful baby girl was born.']
239,very same night the which came to their door and ,['It came to their door the same night.']
240,took away the baby girl leaving the poor parents in ,['The poor parents were left in the lurch when the baby girl was taken away.']
241,complete sorrow you are such a beautiful looking girl I ,['I am so sad that you are such a beautiful looking girl.']
242,will name you rock boots and take care of you ,['Will take care of you and name you rock boots.']
243,haha the witch kept her locked in a tower with ,['The witch kept her in a tower.']
244,no doors and stairs but just a small little window ,['A small window with no doors or stairs.']
245,as that i'm fast by rapunzel grew into a beautiful ,['I grew into a beautiful person as a result of that.']
246,girl with very long golden locks but her beauty went ,['A girl with long golden locks.']
247,in vain because the cruel which never allowed her to ,['She was never allowed to because of the cruel.']
248,go anywhere sad .be able to perform under such pressure ,['Be able to perform under such pressure.']
249,you need to put in dedicated hours of practice over ,['You have to put in hours of practice.']
250,a period of time to be able to deliver under ,['A period of time to be able to deliver.']
251,such pressure your skills need to be second nature to ,['Your skills need to be second nature.']
252,you kamblee is one such app where you can practice ,['You can practice with the kamblee app.']
253,your communication skills through one on one classes with native ,['You can learn your communication skills in one class.']
254,English speaking tutors when it comes to speaking fluent most ,['Most English speaking tutors are proficient in speaking fluent English.']
255,people tend to get intimidated especially if they have not ,['People get intimidated if they have not.']
256,had an environment of speaking in English just like bowling ,['The environment of speaking in English was similar to bowling.']
257,spin in some tough conditions the only way to master ,"[""It's the only way to master spin.""]"
258,it is through consistent practice similarly speaking fluent English will ,['Consistency is the key to speaking fluent English.']
259,also require you to put yourself in situations consistently and ,['You have to put yourself in situations consistently.']
260,regularly over a period of time kambli offers 15 to ,"['Over a period of time, kambli offers 15.']"
261,30 minutes classes such that you can practice from anywhere ,['You can practice from anywhere in 30 minutes.']
262,anytime with superb tutors download kamli app now and start ,['You can start with superb tutors by using the kamli app.']
263,practicing regularly they can't work with the director they don't ,"[""They can't work with the director who doesn't practice regularly.""]"
264,like Ranbir Kapoor said that I have to fall in ,['I have to fall in.']
265,love with my director is that sure for you for ,['Is it possible for you to love my director?']
266,any actor I guess I mean because the director is ,['The director is an actor.']
267,a captain of the ship this you know you have ,['You have a captain of the ship.']
268,to connect with the director and if you don't connect ,"[""To connect with the director if you don't.""]"
269,with the director I don't think you can I leave ,"[""I don't think you can leave.""]"
270,the phone I I can't you can't do it I ,"[""You can't do it on the phone.""]"
271,can't do it they also said that many actors also ,"[""They said that many actors also can't do it.""]"
272,said to me that that when movie is going badly ,['I was told that when the movie is bad.']
273,like you feel it in your bones yeah when you ,['You feel it in your bones.']
274,say you have the disasters did you know that you ,['Did you know about the disasters?']
275,know it once in like 156 days into the film ,['It was in 156 days into the film.']
276,of the energy of the film but its working or ,"[""The film's working or the energy of the film.""]"
277,not working 56 days into it yeah you know the ,"['You know, not working 56 days into it.']"
278,energy you know what keeps you going then then you ,['You know what keeps you going.']
279,don't think on that go ahead will be fine just ,"[""Don't think that will be a problem.""]"
280,cool yes but you know that right energies of the ,"['Yes, but you know what the right energies are.']"
281,film any true actor the note in the sense you ,['You can film any true actor.']
282,know it you can feel it whether the film is ,['You can feel it even if the film is not good.']
283,working or not I can you fix it no I ,"[""I can't fix it if it's working or not.""]"
284,can't because I just trust my detectors I'm saying the ,"[""I can't because I trust my detectors.""]"
285,energy of the film its like so you fixing in ,"[""You fix in the film's energy.""]"
286,the sense like you would go back and say OK ,['You would go back and say okay.']
287,did I judge it correctly is this the right kind ,['Is this the right kind of judge?']
288,of script so you know you know those energies happen ,['You know those energies happen because of the script.']
289,it's not just you and the director is the all ,['The director is not the only one.']
290,the other actors the energy of the set the energy ,['The actors are part of the set.']
291,of the light man the entire unit energy you will ,['The entire unit energy will be of the light man.']
292,feel and you will also feel it if it is ,['You will also feel it if it is.']
293,a successful film the 5:00 in the set you know ,['The film was successful in the set.']
294,it I can't explain it but you know it so ,"[""You know I can't explain it.""]"
295,do you when you are prepping for a role do ,['Do you prepare for a role?']
296,you kind of plan on how high you will pitch ,['You have a plan on how high you will pitch.']
297,the character what what is your preparation I try to ,['I try to prepare the character.']
298,keep it very simple I follow the director once I ,['I follow the director once.']
299,have okay the story once I okay the project I ,['Have you okay the project?']
300,blindly follow my director I have always done that and ,['I have always followed my director.']
301,that way every filmein come up with something new that's ,['Every filmein comes up with something new.']
302,what I've done it and so I keep it very ,['I keep it because I have done it.']
303,simple so sometimes I fell down things into work out ,['Sometimes I fell into work out.']
304,but then sometimes things have worked out brilliantly for me ,['Sometimes things work out for me.']
305,so I follow my director you know Salman Khan once ,['I follow my director.']
306,said to me that he never wants to play negative ,"[""He said that he doesn't want to be negative.""]"
307,characters on screen he wants to always be positive because ,['He wants his characters to always be positive.']
308,he said cinemas to influential in our country is that ,['He said that cinemas are influential in our country.']
309,something you would prescribe do you always want to be ,['Do you always want to be a prescriber?']
310,good it depends on cinema at the end of this ,['It depends on cinema at the end.']
311,entertainment but first someone like Salman Khan he's he's a ,"[""He's the first person like that.""]"
312,huge star so its for you something somewhere else but ,"[""It's for you something else but a huge star.""]"
313,depends on the script like i've play ouldn't say negative ,['It depends on the script.']
314,negative it was jobs cut off and on actors job ,['It was a negative because jobs were cut off.']
315,is a very high pressure job I feel there's a ,['There is a very high pressure job.']
316,lot of stress and all that but when I go ,['There is a lot of stress when I go.']
317,home I forget that play with my kids spend time ,['I forget to spend time with my kids.']
318,with my wife so she makes sure that you know ,['My wife makes sure that.']
319,she gives me that balance in my friend thats very ,['She gives me a balance in my friend.']
320,important for an actor actually you also spoke very extensively ,"[""It's important for an actor that you speak a lot.""]"
321,about how important family is to you and like you ,['How important is your family to you?']
322,just said you want to disconnect and go home and ,['Just said that you want to go home.']
323,and how important your marriage is to you and you ,['How important is your marriage to you?']
324,said which I thought was lovely you said men who ,['I thought it was lovely.']
325,are not loyal foolish but spark show business is a ,['spark show business is not foolish.']
326,very tough place for relationships it is it is the ,['It is a very difficult place for relationships.']
327,scrutiny is very harsh the failure is public what do ,['What do you do when the failure is public?']
328,you think is keto really Provides a basic understanding of ,['A basic understanding of is provided by you.']
329,"important topics in technical communication, including ethical and legal considerations, ",['ethical and legal considerations are important topics in technical communication.']
330,the role of the writing process in planning and developing ,['The writing process has a role in planning.']
331,"technical documents, and the practice of collaborating on documents Covers ",['The practice of collaborating on technical documents.']
332,"a wide range of types of technical communication: letters, memos, ",['There is a wide range of technical communication.']
333,"emails, and microblogs; job-application materials, includ-ing print and electronic résumés; ","['Job-application materials, printed and electronic, as well as emails and microblogs.']"
334,"proposals; informational reports, such as progress and status reports, incident ",['Informational reports include progress and status reports.']
335,"reports, and meeting minutes; recommendation reports; lab reports; definitions, descriptions, ","['There are reports, meeting minutes, recommendation reports, and lab reports.']"
336,and instructions; oral presentations; and applications used in communicating with ,"['Instructions, oral presentations, and applications are used to communicate.']"
337,"the public, including newsletters, brochures, white papers, podcasts, discussion boards, ","['The public includes newsletters, brochures, white papers, and discussion boards.']"
338,"blogs, and wikis Inspirational moral stories for children prove fruitful ",['The moral stories for children prove fruitful.']
339,and beneficial as such short stories on kindness with morals ,['Short stories on kindness and morals are beneficial.']
340,in English encourage them to stay positive and motivated about ,['Encourage them to stay positive.']
341,the essence of morals in our lives.New moral stories with ,['There are moral stories in our lives.']
342,pictures in English inspire young readers to build the right ,['Young readers are inspired by pictures in English.']
343,value system so that they can become righteous human beings ,['They can become righteous human beings through the value system.']
344,when they grow up. Such short stories with moral values ,['When they grow up.']
345,are fun to read and are designed with the intent ,['They are designed to be fun to read.']
346,to convey a powerful lesson to its readers.Good moral stories ,['Good moral stories to convey a powerful lesson.']
347,for kids are augmented with relevant images and pictures which ,['There are pictures and images that are relevant for kids.']
348,help in a better understanding of the thoughts behind the ,['Help understand the thoughts behind them.']
349,"words and phrases. In fact, these short moral stories for ",['These are short moral stories.']
350,"kids are a rich source of inspiration for young kids, ",['Kids are a source of inspiration.']
351,"school students and adults too.Therefore, reading the best moral stories ",['The best moral stories can be read by school students and adults.']
352,for children in English help little ones to grow up ,['Helping little ones to grow up is done in English.']
353,into wise and judicious individuals. The best part about reading ,"[""It's the best part of reading.""]"
354,short and good moral stories in English is that it ,['Good and short moral stories can be found in English.']
355,gives them an opportunity to stay motivated and arbitrarily choose ,['They have an opportunity to stay motivated.']
356,the best option for themselves. Women are a vital part ,['The best option for women.']
357,of the world and fill in society with various activities ,['fill in society with various activities']
358,and works. As women enter into society they need their ,"['As women enter society, they need to work.']"
359,own decisions to move forward to achieve something. Women should ,['Women should make their own decisions.']
360,be empowered and allowed to live independently to face the ,"['To face, be allowed to live on your own.']"
361,"world. In our families, the mother was empowered for the ",['The mother was given power in our families.']
362,needs and care of the family which results in the ,['It results in the needs and care of the family.']
363,"good health and a fitful family. Similarly, the women in ",['The women are fit and have good health.']
364,society should be empowered to move society healthy and towards ,['Society should be given the power to move towards health.']
365,"the development of the country. In the olden days, as ",['The country was developed in the olden days.']
366,the men were more in society to work so the ,['The men worked more in society.']
367,men are allowed to take the major decisions in the ,['Men are allowed to make major decisions.']
368,family. As the days are passed women moved into economical ,['Women moved into economical as the days went by.']
369,help for the families and also parallel for the nation. ,['Help for the families and parallel for the nation.']
370,So the women should be empowered as equally as men ,['The women should be given the same amount of power as men.']
371,"and should remove gender discrimination in society.In India, a huge ","['In India, gender discrimination is a huge problem.']"
372,"number of criminal activities are happening every day towards women, ",['There are a lot of criminal activities towards women.']
373,to answer all these activities women are allowed to be ,['Women are allowed to answer all these questions.']
374,empowered. The Government of the country should bring the Women ,['The Women should be given the power of the country.']
375,empowerment acts to help women in all categories. Many women ,['Empowerment helps women in all categories.']
376,succeeded in Women’s empowerment and ruling the people successfully in ,"[""The people were ruled successfully by Women's empowerment.""]"
377,all sectors. If the women are empowered we can get ,['We can get all sectors if the women are powerful.']
378,"a Politician like Indira Gandhi, a Freedom fighter like Sarojini ",['A Freedom fighter like Sarojini.']
379,"Naidu, IPS like Kiran Bedi, and many powerful women like ",['Powerful women like Naidu and Bedi.']
380,"Mamata Banerji, Sushma Swaraj, etc. In the present days of ",['In the past days of Mamata Banerji.']
381,"India, women were empowered in every sector and even capable ","[""India's women were capable in every sector.""]"
382,"of running the country.In India, a huge number of criminal ",['There is a large number of criminal in India.']
383,"activities are happening every day towards women, to answer all ",['Every day there are activities for women.']
384,these activities women are allowed to be empowered. The Government ,['The government allows these activities for women.']
385,of the country should bring the Women empowerment acts to ,['Women empowerment acts should be brought to the country.']
386,help women in all categories. Many women succeeded in Women’s ,['Women were helped in all categories.']
387,empowerment and ruling the people successfully in all sectors. If ,['If empowerment and ruling the people are successful.']
388,the women are empowered we can get a Politician like ,['We can get a Politician because the women are powerful.']
389,"Indira Gandhi, a Freedom fighter like Sarojini Naidu, IPS like ","['Like Sarojini Naidu, Gandhi was a Freedom fighter.']"
390,"Kiran Bedi, and many powerful women like Mamata Banerji, Sushma ",['Powerful women like Mamata Banerji.']
391,"Swaraj, etc. In the present days of India, women were ",['Women were in the present days of India.']
392,empowered in every sector and even capable of running the ,['It is capable of running in every sector.']
393,country.omen started coming into society to give economic support to ,['The men came into society to support the economy.']
